Date : 2022-04-08 01:04:23
Directory : /Users/apple/Documents/Projects/ivex
Total : 373 files,  43963 codes, 2903 comments, 4742 blanks, all 51608 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/apple/Documents/Projects/ivex/client/src/Components/PdfViewer/PdfViewer.js                                                     | JavaScript         |        848 |        110 |         74 |      1,032 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminCategoriesTable/AdminCategoriesTable.comp.js     | JavaScript         |        207 |          2 |         13 |        222 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminCategoriesTable/_adminCategoriesTable.scss       | SCSS               |         57 |          5 |         12 |         74 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminProfile.comp.js                                  | JavaScript         |        452 |         12 |         25 |        489 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminPublisherProfile/AdminPublisherProfile.comp.js   | JavaScript         |        842 |          5 |         36 |        883 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminPublisherProfile/_adminPublisherProfile.scss     | SCSS               |         70 |          0 |         19 |         89 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminScriptsTable/AdminScriptsTable.comp.js           | JavaScript         |        144 |          5 |          8 |        157 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminScriptsTable/_adminScriptsTable.scss             | SCSS               |         50 |          5 |         11 |         66 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminUserProfile/AdminUserProfile.comp.js             | JavaScript         |        692 |          4 |         27 |        723 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminUserProfile/_adminUserProfile.scss               | SCSS               |         35 |          0 |         10 |         45 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminUserTable/AdminUserTable.comp.js                 | JavaScript         |        284 |          3 |         11 |        298 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/AdminUserTable/_adminUserTable.scss                   | SCSS               |         50 |          5 |         10 |         65 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/CreatePublisher/CreatePublisher.comp.js               | JavaScript         |        179 |          6 |          5 |        190 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/CreatePublisher/_createPublisher.scss                 | SCSS               |         10 |          0 |          2 |         12 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/CreateScript/CreateScript.js                          | JavaScript         |        580 |         19 |         31 |        630 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/CreateScript/_createScript.scss                       | SCSS               |          3 |          0 |          0 |          3 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/EditAdminProfile/EditAdminProfile.comp.js             | JavaScript         |        195 |          4 |         11 |        210 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/EditAdminProfile/_editAdminProfile.scss               | SCSS               |         18 |          0 |          4 |         22 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/AdminProfile/_adminProfile.scss                                    | SCSS               |        161 |          5 |         34 |        200 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/Profile.comp.js                                                    | JavaScript         |        116 |          1 |          8 |        125 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/ProfileAllScripts/ProfileAllScripts.js                             | JavaScript         |         83 |          2 |         11 |         96 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/ProfileCarousel/ProfileCarousel.comp.js                            | JavaScript         |        137 |          2 |         14 |        153 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/ProfileCarousel/ProfileCarouselDefault.comp.js                     | JavaScript         |         89 |          1 |          7 |         97 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/ProfileCarousel/_profileCarousel.scss                              | SCSS               |         69 |          1 |          6 |         76 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/PublisherProfile/ChangeScriptPublisher/ChangeScriptPublisher.js    | JavaScript         |        159 |          1 |         12 |        172 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/PublisherProfile/ChangeScriptPublisher/_changeScriptPublisher.scss | SCSS               |         24 |          0 |          3 |         27 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/PublisherProfile/CreateScriptPublisher/CreateScriptPublisher.js    | JavaScript         |        544 |         19 |         31 |        594 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/PublisherProfile/CreateScriptPublisher/_createScriptPublisher.scss | SCSS               |         28 |          0 |          5 |         33 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/PublisherProfile/PublisherProfile.comp.js                          | JavaScript         |        819 |          2 |         29 |        850 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/PublisherProfile/_publisherProfile.scss                            | SCSS               |         41 |          0 |         11 |         52 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/UserProfile/UserProfile.comp.js                                    | JavaScript         |        284 |         19 |         23 |        326 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/UserProfile/UserProfileParts/_changeInfo.comp.js                   | JavaScript         |        674 |         10 |         27 |        711 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/UserProfile/UserProfileParts/_changePassword.comp.js               | JavaScript         |        148 |          4 |          7 |        159 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/UserProfile/UserProfileParts/_userCarousels.comp.js                | JavaScript         |         93 |          9 |         13 |        115 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/UserProfile/_userProfile.scss                                      | SCSS               |          0 |          0 |          1 |          1 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Profile/_profile.scss                                                      | SCSS               |         96 |          2 |         19 |        117 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Registration/MembershipReg/MembershipReg.js                                | JavaScript         |        277 |          1 |          8 |        286 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Registration/MembershipReg/_membershipReg.scss                             | SCSS               |         73 |          1 |         17 |         91 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Registration/RegFormStripe.js                                              | JavaScript         |         37 |         11 |         10 |         58 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Registration/RegPaymentStatus.jsx                                          | JavaScript React   |         38 |         13 |         10 |         61 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Registration/RegSectionI/RegSectionI.js                                    | JavaScript         |         31 |          0 |          6 |         37 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Registration/RegSectionI/_regSectionI.scss                                 | SCSS               |         38 |          0 |          9 |         47 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Registration/Registration.comp.js                                          | JavaScript         |        530 |         22 |         40 |        592 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Registration/__test__/Registration.test.js                                 | JavaScript         |        236 |         61 |         66 |        363 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Registration/_registration.scss                                            | SCSS               |        114 |          1 |         24 |        139 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/ScriptsPage/Admin/AdminScriptPage.como.js                                  | JavaScript         |        679 |         12 |         26 |        717 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/ScriptsPage/Admin/_adminScriptPage.scss                                    | SCSS               |         53 |          0 |         11 |         64 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/ScriptsPage/Scriptspage.comp.js                                            | JavaScript         |        402 |          8 |         22 |        432 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/ScriptsPage/SectionIScript/SectionIScript.js                               | JavaScript         |         45 |          0 |         10 |         55 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/ScriptsPage/SectionIScript/_sectionIScript.scss                            | SCSS               |         21 |          0 |          2 |         23 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/ScriptsPage/_scriptspage.comp.scss                                         | SCSS               |         84 |          0 |         19 |        103 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Thanks/Thanks.js                                                           | JavaScript         |         39 |          1 |          8 |         48 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Thanks/_thanks.scss                                                        | SCSS               |         17 |          0 |          4 |         21 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/UnsubscribeFromEmails/UnsubscribeFromEmails.comp.js                        | JavaScript         |         76 |          1 |         10 |         87 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/VerificationEmail/EmailVerification.comp.js                                | JavaScript         |         37 |          1 |          7 |         45 |
| /Users/apple/Documents/Projects/ivex/client/src/_variables.scss                                                                       | SCSS               |        457 |         24 |         92 |        573 |
| /Users/apple/Documents/Projects/ivex/client/src/css/main.min.css                                                                      | CSS                |          1 |          1 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/src/helpers/index.js                                                                      | JavaScript         |         11 |          0 |          2 |         13 |
| /Users/apple/Documents/Projects/ivex/client/src/helpers/requests/requests.js                                                          | JavaScript         |         27 |          4 |          9 |         40 |
| /Users/apple/Documents/Projects/ivex/client/src/helpers/validators/adminforms.validator.js                                            | JavaScript         |         85 |          5 |         26 |        116 |
| /Users/apple/Documents/Projects/ivex/client/src/helpers/validators/publisherform.validator.js                                         | JavaScript         |         47 |          3 |         14 |         64 |
| /Users/apple/Documents/Projects/ivex/client/src/helpers/validators/scriptforms.validator.js                                           | JavaScript         |         57 |          6 |         16 |         79 |
| /Users/apple/Documents/Projects/ivex/client/src/helpers/validators/userforms.validator.js                                             | JavaScript         |        105 |         14 |         28 |        147 |
| /Users/apple/Documents/Projects/ivex/client/src/index.css                                                                             | CSS                |         12 |          0 |          2 |         14 |
| /Users/apple/Documents/Projects/ivex/client/src/index.js                                                                              | JavaScript         |         16 |         24 |          3 |         43 |
| /Users/apple/Documents/Projects/ivex/client/src/main.scss                                                                             | SCSS               |         59 |          1 |          4 |         64 |
| /Users/apple/Documents/Projects/ivex/client/src/scripts/annotator.min.js                                                              | JavaScript         |         48 |          0 |          1 |         49 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Alerts/ErrorAlert/ErrorAlert.util.js                                            | JavaScript         |         25 |          1 |          5 |         31 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Alerts/ErrorAlert/_errorAlert.util.scss                                         | SCSS               |          1 |          8 |          1 |         10 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Alerts/InfoAlert/InfoAlert.util.js                                              | JavaScript         |         49 |          0 |          4 |         53 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Alerts/InfoAlert/_successAlert.util.scss                                        | SCSS               |         16 |          0 |          3 |         19 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Alerts/SuccessAlert/SuccessAlert.util.js                                        | JavaScript         |         28 |          2 |          6 |         36 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Alerts/SuccessAlert/_successAlert.util.scss                                     | SCSS               |         15 |          0 |          2 |         17 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Button/Button.util.js                                                           | JavaScript         |         11 |          0 |          3 |         14 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Button/Radio.util.js                                                            | JavaScript         |         12 |          0 |          5 |         17 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Button/SearchButton.util.js                                                     | JavaScript         |          9 |          0 |          2 |         11 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Button/_button.util.scss                                                        | SCSS               |        122 |          3 |         24 |        149 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Footer/Footer.util.js                                                           | JavaScript         |         74 |          6 |          6 |         86 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Footer/_footer.util.scss                                                        | SCSS               |         41 |          1 |          9 |         51 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/FrontpageCard/FrontpageCard.util.js                                             | JavaScript         |         14 |          0 |          4 |         18 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/FrontpageCard/_frontpageCard.util.scss                                          | SCSS               |         41 |          0 |          4 |         45 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Heading/Heading.util.js                                                         | JavaScript         |         23 |          0 |          4 |         27 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Heading/_heading.util.scss                                                      | SCSS               |         40 |          0 |          6 |         46 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/LineChart/LineChart.js                                                          | JavaScript         |        180 |          1 |         15 |        196 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/LineChart/_lineChart.util.scss                                                  | SCSS               |         19 |          0 |          4 |         23 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Navbars/Navbar.util.js                                                          | JavaScript         |        411 |          2 |         19 |        432 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Navbars/_navbar.util.scss                                                       | SCSS               |        132 |          1 |         30 |        163 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/PriceCard/PriceCard.util.js                                                     | JavaScript         |         72 |          0 |          8 |         80 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/PriceCard/_priceCard.util.scss                                                  | SCSS               |        166 |          4 |         29 |        199 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/PriceCardFrontpage/PriceCardFrontpage.util.js                                   | JavaScript         |         72 |          0 |          7 |         79 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/PriceCardFrontpage/_priceCardFrontpage.util.scss                                | SCSS               |        261 |          6 |         44 |        311 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/ProfileCard/ProfileCard.util.js                                                 | JavaScript         |         26 |          0 |          3 |         29 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/ProfileCard/_profileCard.util.scss                                              | SCSS               |         16 |          0 |          2 |         18 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/ScriptCard/_scriptcard.util.scss                                                | SCSS               |         43 |          0 |          6 |         49 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/ScriptCard/scriptcard.util.js                                                   | JavaScript         |         86 |          4 |          8 |         98 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/ScriptsCarousel/ScriptsCarousel.util.js                                         | JavaScript         |        147 |         13 |          9 |        169 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/ScriptsCarousel/_scriptsCarousel.util.scss                                      | SCSS               |         83 |          1 |         11 |         95 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Searchbar/Searchbar.util.js                                                     | JavaScript         |         15 |          0 |          3 |         18 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Searchbar/_searchbar.util.scss                                                  | SCSS               |         21 |          0 |          1 |         22 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Spinner/Spinner.util.js                                                         | JavaScript         |         10 |          0 |          4 |         14 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/SubscriptionCard/SubscriptionCard.util.js                                       | JavaScript         |         33 |          0 |          4 |         37 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/SubscriptionCard/_subscriptionCard.util.scss                                    | SCSS               |         22 |          0 |          3 |         25 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Tags/Tag.util.js                                                                | JavaScript         |          5 |          0 |          3 |          8 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/Tags/_tag.util.scss                                                             | SCSS               |         16 |          0 |          1 |         17 |
| /Users/apple/Documents/Projects/ivex/client/src/utils/index.js                                                                        | JavaScript         |          0 |          1 |          1 |          2 |
| /Users/apple/Documents/Projects/ivex/readme.md                                                                                        | Markdown           |          8 |          0 |          1 |          9 |
| /Users/apple/Documents/Projects/ivex/server/.prettierrc.json                                                                          | JSON               |          8 |          0 |          1 |          9 |
| /Users/apple/Documents/Projects/ivex/server/build/app.js                                                                              | JavaScript         |         30 |          1 |          0 |         31 |
| /Users/apple/Documents/Projects/ivex/server/build/controllers/Admin.controller.js                                                     | JavaScript         |        210 |          1 |          0 |        211 |
| /Users/apple/Documents/Projects/ivex/server/build/controllers/Analytics.controller.js                                                 | JavaScript         |        551 |          1 |          0 |        552 |
| /Users/apple/Documents/Projects/ivex/server/build/controllers/Auth.controller.js                                                      | JavaScript         |        110 |          1 |          0 |        111 |
| /Users/apple/Documents/Projects/ivex/server/build/controllers/Highlights.controller.js                                                | JavaScript         |        158 |          1 |          0 |        159 |
| /Users/apple/Documents/Projects/ivex/server/build/controllers/Publisher.controller.js                                                 | JavaScript         |        214 |          1 |          0 |        215 |
| /Users/apple/Documents/Projects/ivex/server/build/controllers/Script.controller.js                                                    | JavaScript         |        437 |          1 |          0 |        438 |
| /Users/apple/Documents/Projects/ivex/server/build/controllers/User.controller.js                                                      | JavaScript         |        441 |          1 |          0 |        442 |
| /Users/apple/Documents/Projects/ivex/server/build/controllers/index.js                                                                | JavaScript         |         99 |          1 |          0 |        100 |
| /Users/apple/Documents/Projects/ivex/server/build/database/connection.js                                                              | JavaScript         |         53 |          1 |          0 |         54 |
| /Users/apple/Documents/Projects/ivex/server/build/database/models/admin.model.js                                                      | JavaScript         |         39 |          1 |          0 |         40 |
| /Users/apple/Documents/Projects/ivex/server/build/database/models/category.model.js                                                   | JavaScript         |         11 |          1 |          0 |         12 |
| /Users/apple/Documents/Projects/ivex/server/build/database/models/highlights.model.js                                                 | JavaScript         |         30 |          1 |          0 |         31 |
| /Users/apple/Documents/Projects/ivex/server/build/database/models/index.js                                                            | JavaScript         |         23 |          1 |          0 |         24 |
| /Users/apple/Documents/Projects/ivex/server/build/database/models/publisher.model.js                                                  | JavaScript         |         38 |          1 |          0 |         39 |
| /Users/apple/Documents/Projects/ivex/server/build/database/models/publisher_analytics.model.js                                        | JavaScript         |         28 |          1 |          0 |         29 |
| /Users/apple/Documents/Projects/ivex/server/build/database/models/script.model.js                                                     | JavaScript         |         41 |          1 |          0 |         42 |
| /Users/apple/Documents/Projects/ivex/server/build/database/models/user.model.js                                                       | JavaScript         |        110 |          1 |          0 |        111 |
| /Users/apple/Documents/Projects/ivex/server/build/database/models/user_analytics.model.js                                             | JavaScript         |         35 |          1 |          0 |         36 |
| /Users/apple/Documents/Projects/ivex/server/build/database/models/user_script.model.js                                                | JavaScript         |         20 |          1 |          0 |         21 |
| /Users/apple/Documents/Projects/ivex/server/build/database/seedDb.js                                                                  | JavaScript         |         26 |          1 |          0 |         27 |
| /Users/apple/Documents/Projects/ivex/server/build/database/seeders/admin.seeder.js                                                    | JavaScript         |         38 |          1 |          0 |         39 |
| /Users/apple/Documents/Projects/ivex/server/build/database/seeders/category.seeder.js                                                 | JavaScript         |         35 |          1 |          0 |         36 |
| /Users/apple/Documents/Projects/ivex/server/build/database/seeders/index.js                                                           | JavaScript         |         15 |          1 |          0 |         16 |
| /Users/apple/Documents/Projects/ivex/server/build/database/seeders/publisher.seeder.js                                                | JavaScript         |         39 |          1 |          0 |         40 |
| /Users/apple/Documents/Projects/ivex/server/build/database/seeders/publisher_analytics.seeder.js                                      | JavaScript         |         54 |          1 |          0 |         55 |
| /Users/apple/Documents/Projects/ivex/server/build/database/seeders/script.seeder.js                                                   | JavaScript         |        104 |          1 |          0 |        105 |
| /Users/apple/Documents/Projects/ivex/server/build/database/seeders/user_analytics_seeder.js                                           | JavaScript         |         79 |          1 |          0 |         80 |
| /Users/apple/Documents/Projects/ivex/server/build/database/seeders/users.seeder.js                                                    | JavaScript         |         54 |          1 |          0 |         55 |
| /Users/apple/Documents/Projects/ivex/server/build/database/syncDb.js                                                                  | JavaScript         |         21 |          1 |          0 |         22 |
| /Users/apple/Documents/Projects/ivex/server/build/emails/config.js                                                                    | JavaScript         |         28 |          1 |          0 |         29 |
| /Users/apple/Documents/Projects/ivex/server/build/emails/index.js                                                                     | JavaScript         |          5 |          1 |          0 |          6 |
| /Users/apple/Documents/Projects/ivex/server/build/helpers/emailMessage.interface.js                                                   | JavaScript         |          2 |          1 |          0 |          3 |
| /Users/apple/Documents/Projects/ivex/server/build/helpers/index.js                                                                    | JavaScript         |          9 |          1 |          0 |         10 |
| /Users/apple/Documents/Projects/ivex/server/build/helpers/publisher-pay.helper.js                                                     | JavaScript         |         20 |          1 |          0 |         21 |
| /Users/apple/Documents/Projects/ivex/server/build/helpers/response.helper.js                                                          | JavaScript         |          9 |          1 |          0 |         10 |
| /Users/apple/Documents/Projects/ivex/server/build/helpers/trimester.helper.js                                                         | JavaScript         |         17 |          1 |          0 |         18 |
| /Users/apple/Documents/Projects/ivex/server/build/helpers/user-category-email.function.js                                             | JavaScript         |        106 |          1 |          0 |        107 |
| /Users/apple/Documents/Projects/ivex/server/build/jobs/index.js                                                                       | JavaScript         |          5 |          1 |          0 |          6 |
| /Users/apple/Documents/Projects/ivex/server/build/jobs/pickedScriptsEveryDay.job.js                                                   | JavaScript         |         73 |          1 |          0 |         74 |
| /Users/apple/Documents/Projects/ivex/server/build/middlewares/Auth.middleware.js                                                      | JavaScript         |        142 |          1 |          0 |        143 |
| /Users/apple/Documents/Projects/ivex/server/build/middlewares/UserProfile.middleware.js                                               | JavaScript         |         22 |          1 |          0 |         23 |
| /Users/apple/Documents/Projects/ivex/server/build/middlewares/index.js                                                                | JavaScript         |          9 |          1 |          0 |         10 |
| /Users/apple/Documents/Projects/ivex/server/build/routes/Analytics.router.js                                                          | JavaScript         |         21 |          1 |          0 |         22 |
| /Users/apple/Documents/Projects/ivex/server/build/routes/Login.router.js                                                              | JavaScript         |         12 |          1 |          0 |         13 |
| /Users/apple/Documents/Projects/ivex/server/build/routes/Publisher.router.js                                                          | JavaScript         |         24 |          1 |          0 |         25 |
| /Users/apple/Documents/Projects/ivex/server/build/routes/User.router.js                                                               | JavaScript         |         29 |          1 |          0 |         30 |
| /Users/apple/Documents/Projects/ivex/server/build/routes/admin.router.js                                                              | JavaScript         |         21 |          1 |          0 |         22 |
| /Users/apple/Documents/Projects/ivex/server/build/routes/highlight.router.js                                                          | JavaScript         |         16 |          1 |          0 |         17 |
| /Users/apple/Documents/Projects/ivex/server/build/routes/index.js                                                                     | JavaScript         |         13 |          1 |          0 |         14 |
| /Users/apple/Documents/Projects/ivex/server/build/routes/router.js                                                                    | JavaScript         |         30 |          1 |          0 |         31 |
| /Users/apple/Documents/Projects/ivex/server/build/routes/scripts.router.js                                                            | JavaScript         |         64 |          1 |          0 |         65 |
| /Users/apple/Documents/Projects/ivex/server/build/tests/Highlights/Highlight.test.js                                                  | JavaScript         |        157 |          1 |          0 |        158 |
| /Users/apple/Documents/Projects/ivex/server/build/tests/Highlights/Page.test.js                                                       | JavaScript         |        133 |          1 |          0 |        134 |
| /Users/apple/Documents/Projects/ivex/server/build/tests/Publisher/createGetPublisher.test.js                                          | JavaScript         |         73 |          1 |          0 |         74 |
| /Users/apple/Documents/Projects/ivex/server/build/tests/Publisher/deletePublisher.test.js                                             | JavaScript         |         52 |          1 |          0 |         53 |
| /Users/apple/Documents/Projects/ivex/server/build/tests/Publisher/editPublisher.test.js                                               | JavaScript         |        100 |          1 |          0 |        101 |
| /Users/apple/Documents/Projects/ivex/server/build/tests/Scripts/createScript.test.js                                                  | JavaScript         |         55 |          1 |          0 |         56 |
| /Users/apple/Documents/Projects/ivex/server/build/tests/Scripts/getScript.test.js                                                     | JavaScript         |         53 |          1 |          0 |         54 |
| /Users/apple/Documents/Projects/ivex/server/build/tests/User/createUser.test.js                                                       | JavaScript         |        158 |          1 |          0 |        159 |
| /Users/apple/Documents/Projects/ivex/server/build/tests/User/getUser.test.js                                                          | JavaScript         |         76 |          1 |          0 |         77 |
| /Users/apple/Documents/Projects/ivex/server/build/validators/Admin/Admin.validator.js                                                 | JavaScript         |         47 |          1 |          0 |         48 |
| /Users/apple/Documents/Projects/ivex/server/build/validators/Analytics/Analytics.validator.js                                         | JavaScript         |         44 |          1 |          0 |         45 |
| /Users/apple/Documents/Projects/ivex/server/build/validators/Auth/auth.validator.js                                                   | JavaScript         |         15 |          1 |          0 |         16 |
| /Users/apple/Documents/Projects/ivex/server/build/validators/Highlights/highlights.validator.js                                       | JavaScript         |         81 |          1 |          0 |         82 |
| /Users/apple/Documents/Projects/ivex/server/build/validators/Publisher/Publisher.validator.js                                         | JavaScript         |         89 |          1 |          0 |         90 |
| /Users/apple/Documents/Projects/ivex/server/build/validators/Script/script.validator.js                                               | JavaScript         |        111 |          1 |          0 |        112 |
| /Users/apple/Documents/Projects/ivex/server/build/validators/User/User.validator.js                                                   | JavaScript         |        217 |          1 |          0 |        218 |
| /Users/apple/Documents/Projects/ivex/server/build/validators/index.js                                                                 | JavaScript         |         65 |          1 |          0 |         66 |
| /Users/apple/Documents/Projects/ivex/server/package.json                                                                              | JSON               |         78 |          0 |          1 |         79 |
| /Users/apple/Documents/Projects/ivex/server/src/app.ts                                                                                | TypeScript         |         32 |          6 |          9 |         47 |
| /Users/apple/Documents/Projects/ivex/server/src/controllers/Admin.controller.ts                                                       | TypeScript         |        203 |         10 |         19 |        232 |
| /Users/apple/Documents/Projects/ivex/server/src/controllers/Analytics.controller.ts                                                   | TypeScript         |        575 |         29 |         40 |        644 |
| /Users/apple/Documents/Projects/ivex/server/src/controllers/Auth.controller.ts                                                        | TypeScript         |        104 |          0 |          8 |        112 |
| /Users/apple/Documents/Projects/ivex/server/src/controllers/Category.controller.ts                                                    | TypeScript         |        102 |          2 |         16 |        120 |
| /Users/apple/Documents/Projects/ivex/server/src/controllers/Highlights.controller.ts                                                  | TypeScript         |        150 |          4 |         13 |        167 |
| /Users/apple/Documents/Projects/ivex/server/src/controllers/Publisher.controller.ts                                                   | TypeScript         |        210 |         12 |         22 |        244 |
| /Users/apple/Documents/Projects/ivex/server/src/controllers/Script.controller.ts                                                      | TypeScript         |        453 |         11 |         49 |        513 |
| /Users/apple/Documents/Projects/ivex/server/src/controllers/Subscription.controller.ts                                                | TypeScript         |        187 |         25 |         31 |        243 |
| /Users/apple/Documents/Projects/ivex/server/src/controllers/User.controller.ts                                                        | TypeScript         |        497 |          9 |         58 |        564 |
| /Users/apple/Documents/Projects/ivex/server/src/controllers/index.ts                                                                  | TypeScript         |         52 |          0 |          1 |         53 |
| /Users/apple/Documents/Projects/ivex/server/src/database/connection.ts                                                                | TypeScript         |         36 |          2 |          3 |         41 |
| /Users/apple/Documents/Projects/ivex/server/src/database/models/admin.model.ts                                                        | TypeScript         |         43 |          0 |          4 |         47 |
| /Users/apple/Documents/Projects/ivex/server/src/database/models/category.model.ts                                                     | TypeScript         |          8 |          1 |          4 |         13 |
| /Users/apple/Documents/Projects/ivex/server/src/database/models/highlights.model.ts                                                   | TypeScript         |         41 |          2 |          4 |         47 |
| /Users/apple/Documents/Projects/ivex/server/src/database/models/index.ts                                                              | TypeScript         |         16 |          0 |          1 |         17 |
| /Users/apple/Documents/Projects/ivex/server/src/database/models/publisher.model.ts                                                    | TypeScript         |         41 |          0 |          4 |         45 |
| /Users/apple/Documents/Projects/ivex/server/src/database/models/publisher_analytics.model.ts                                          | TypeScript         |         44 |          0 |          4 |         48 |
| /Users/apple/Documents/Projects/ivex/server/src/database/models/script.model.ts                                                       | TypeScript         |         81 |          0 |          4 |         85 |
| /Users/apple/Documents/Projects/ivex/server/src/database/models/user.model.ts                                                         | TypeScript         |        141 |          0 |          3 |        144 |
| /Users/apple/Documents/Projects/ivex/server/src/database/models/user_analytics.model.ts                                               | TypeScript         |         52 |          0 |          4 |         56 |
| /Users/apple/Documents/Projects/ivex/server/src/database/models/user_script.model.ts                                                  | TypeScript         |         14 |          0 |          1 |         15 |
